,Sample ID,SampleType,DateTime Taken,Post Results,Public X,Public Y,Chloromethane (methyl chloride),Chloroethene (vinyl chloride),Bromomethane (methyl bromide),Chloroethane (ethyl chloride),Trichlorofluoromethane,Diethyl ether,"1,1-Dichloroethene",Acetone,Iodomethane,Carbon disulfide,3-Chloropropene (allyl chloride),Methylene chloride (DCM),"trans-1,2-Dichloroethene",Methyl tert-butyl ether (MTBE),"1,1-Dichloroethane","2,2-Dichloropropane","cis-1,2-Dichloroethene",2-Butanone (MEK),Methyl acrylate,Methacrylonitrile,Bromochloromethane,Tetrahydrofuran,Trichloromethane (chloroform),"1,1,1-Trichloroethane",1-Chlorobutane (butyl chloride),Carbon tetrachloride,"1,1-Dichloropropene",Benzene,"1,2-Dichloroethane",Trichloroethene,"1,2-Dichloropropane",Dibromomethane,Methyl methacrylate,Bromodichloromethane,2-Nitropropane,"cis-1,3-Dichloropropene",4-Methyl-2-pentanone (MIBK),Toluene,"trans-1,3-Dichloropropene",Ethyl methacrylate,"1,1,2-Trichloroethane",Tetrachloroethene,"1,3-Dichloropropane",2-Hexanone,Dibromochloromethane,"1,2-Dibromoethane (EDB)",Chlorobenzene,"1,1,1,2-Tetrachloroethane",Ethylbenzene,m/p-Xylene,o-Xylene,Styrene,Bromoform,Isopropylbenzene (cumene),Bromobenzene,"1,1,2,2-Tetrachloroethane","1,2,3-Trichloropropane (TCP)","trans-1,4-Dichloro-2-butene",n-Propylbenzene,2-Chlorotoluene,"1,3,5-Trimethylbenzene",4-Chlorotoluene,tert-Butylbenzene,Pentachloroethane,"1,2,4-Trimethylbenzene",1-Methylpropylbenzene (sec-butylbenzene),"1,3-Dichlorobenzene",4-Isopropyltoluene (p-cymene),"1,4-Dichlorobenzene",n-Butylbenzene,"1,2-Dichlorobenzene",Hexachloroethane,"1,2-Dibromo-3-chloropropane (DBCP)",Nitrobenzene,"1,2,4-Trichlorobenzene","Hexachloro-1,3-butadiene",Naphthalene,"1,2,3-Trichlorobenzene",City,Total Trihalomethanes
0,08-16-CKS-2,Tap Water,8/16/2023 9:30:00,,-156.31469891295163,20.778645083401813,,,,,,,,,,,,2.815,,,,,,,,,,,12.956,,,,,,,,,,,5.961,,,,,,,,,,,3.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,22.259
1,08-16-CKS-3,Tap Water,8/16/2023 10:52:00,,-156.30723261533666,20.77629616425205,,,,,,,,,,,,2.842,,,,,,,,,,,12.685,,,,,,,,,,,6.285,,,,,,,,,,,3.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,22.803
2,08-16-CKS-4,Tap Water,8/16/2023 11:11:00,,-156.30764237816408,20.77818789164569,,,,,,,,,,,,2.748,,,,,,,,,,,11.782,,,,,,,,,,,6.171,,,,,,,,,,,3.699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,21.652
3,08-16-CKS-6,Tap Water,8/16/2023 12:00:00,,-156.31040295282406,20.77822392203184,,,,,,,,,,,,2.868,,,,,,,,,,,21.092,,,,,,,,,,,6.923,,,,,,,,,,,3.621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,31.636
4,08-16-CKS-7,Tap Water,8/16/2023 12:22:00,,-156.31280671413953,20.77297929808723,,,,,,,,17.367,,3.145,,2.778,,,,,,14.842,,,,194.634,2.209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,2.209
5,08-16-CKS-8,Tap Water,8/16/2023 12:53:00,,-156.31013471014137,20.77842432302931,,,,,,,,,,,,2.821,,,,,,,,,,3.004,17.53,,,,,,,,,,,7.944,,,,,,,,,,,4.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,29.709000000000003
6,08-16-CKS-10,Tap Water,8/16/2023 2:24:00,,-156.3255345659279,20.743648971143,,,,,,,,,,,,2.74,,,,,,,,,,,28.868,,,,,,,,,,,8.54,,,,,,,,,,,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,41.388
7,08-16-CKS-11,Tap Water,8/16/2023 2:55:00,,-156.31407983887385,20.75240710015802,,,,,,,,,,,,2.829,,,,,,,,,,,22.495,,,,,,,,,,,7.962,,,,,,,,,,,4.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,34.466
8,08-16-CKS-12,Tap Water,8/16/2023 3:46:00,,-156.30701676515113,20.906158164335228,,,,,,,,,,,,2.827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outside of Boxes,0.0
9,08-23-CKS-21A,Tap Water,8/23/2023 10:50:00,,-156.30964496202753,20.776768616378423,,,,,,,,18.3558,,3.0291,,,,,,,,10.5283,,,,216.9879,1.6109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,1.6109
10,08-23-CKS-22,Tap Water,8/23/2023 14:12:00,,-156.31761556988943,20.77876844097118,,,,,,,,8.8989,,,,,,,,,,,,,,,25.3836,,,,,,,,,,,6.2686,,,,,,,,,,,2.3578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,34.010000000000005
11,08-23-CKS-23,Tap Water,8/23/2023 14:41:00,,-156.30859768359937,20.77654977077379,,,,,,,,8.9012,,,,,,,,,,,,,,,26.4337,,,,,,,,,,,7.1684,,,,,,,,,,,2.7733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,36.3754
12,08-25-CKS-32,Tap Water,8/25/2023 13:04:00,,-156.30570076292136,20.778209646102823,,,,,,,,18.889,,,,1.5702,,,,,,,,,,,23.8827,,,,,,,,,,,4.624,,,,,,,,,,,1.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,29.7887
13,08-25-CKS-33,Tap Water,8/25/2023 13:04:00,,-156.3115401051288,20.77578801188423,,,,,,,,15.3631,,,,1.4309,,,,,,,,,,,27.1288,,,,,,,,,,,5.8192,,,,,,,,,,,1.8606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,34.8086
14,08-25-CKS-35,Tap Water,8/25/2023 13:04:00,,-156.31115321340943,20.77558837699292,,,,,,,,10.9497,,,,1.8244,,,,,,,,,,,33.4709,,,,,,,,,,,4.6644,,,,,,,,,,,1.2138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,39.3491
15,08-29-CKS-41,Tap Water,8/29/2023 9:43:18,,-156.3239285627463,20.756423706704744,,,,,,,,41.9139,,,,,,,,,,,,,,,50.3204,,,,,,,,,,,7.7174,,,,,,,,,,,2.0564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,60.0942
16,08-29-CKS-42,Tap Water,8/29/2023 10:47:24,,-156.3953591890796,20.66732530390446,,,,,,,,47.4081,,,,,,,,,,,,,,,41.1086,,,,,,,,,,,7.8614,,,,,,,,,,,2.3398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outside of Boxes,51.3098
17,08-29-CKS-43,Tap Water,8/29/2023 11:18:46,,-156.4017198278236,20.646563537683747,,,,,,,,,,,,,,,,,,,,,,,41.8076,,,,,,,,,,,8.6972,,,,,,,,,,,2.8638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Outside of Boxes,53.3686
18,08-29-CKS-51,Tap Water,8/29/2023 11:08:27,,-156.29945176857245,20.775928358486365,,,,,,,,4.658,,,,,,,,,,,,,,,29.6559,,,,,,,,,,,6.8627,,,,,,,,,,,2.2813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,38.7999
19,08-29-CKS-52,Tap Water,8/29/2023 11:42:43,,-156.3047802309504,20.774647602054767,,,,,,,,33.5458,,,,,,,,,,,,,,,47.8843,,,,,,,,,,,6.6847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,54.569
20,08-29-CKS-53,Tap Water,8/29/2023 12:12:37,,-156.30617947878682,20.77792240876657,,,,,,,,6.8464,,,,,,,,,,,,,,,24.1796,,,,,,,,,,,4.4572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,28.6368
21,08-29-CKS-54,Tap Water,8/29/2023 13:57:27,,-156.30543250157348,20.77435692521912,,,,,,,,7.4621,,,,,,,,,,,,,,,26.5723,,,,,,,,,,,6.84,,,,,,,,,,,2.3281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,35.740399999999994
22,08-29-CKS-55,Tap Water,8/29/2023 14:14:22,,-156.30680592202287,20.777417993185452,,,,,,,,21.6226,,,,,,,,,,,,,,,31.8395,,,,,,,,,,,7.3367,,,,,,,,,,,2.4234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,41.5996
23,8-30-23-kellie-1,Tap Water,8/30/2023 11:53:07,,-156.30383261399362,20.77120800680773,,,,,,,,6.1419,,,,,,,,,,,,,,,38.214,,,,,,,,,,,4.1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,42.3167
24,8-30-23-kellie-2,Tap Water,8/30/2023 12:37:22,,-156.30182353931025,20.768984618953457,,,,,,,,29.518,,,,,,,,,,,,,,,28.7934,,,,,,,,,,,3.7561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,32.549499999999995
25,8-30-23-kellie-3,Tap Water,8/30/2023 12:41:14,,-156.30033227201872,20.770398716644124,,,,,,,,87.7429,,,,,,,,,,,,,,,86.2655,,,,,,,,,,,6.8312,,,,,,,,,,,2.1405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kula,95.2372
